epoch,accuracy,loss,val_accuracy,val_loss
0,0.46526432037353516,1.2271366119384766,0.5446686148643494,1.1007249355316162
1,0.641295313835144,0.8816147446632385,0.5763688683509827,1.0837448835372925
2,0.7323553562164307,0.687912106513977,0.5878962278366089,1.1124688386917114
3,0.796567976474762,0.5352210402488708,0.5734870433807373,1.1867727041244507
4,0.8292278051376343,0.46141624450683594,0.5706051588058472,1.2605310678482056
5,0.8671464323997498,0.36989739537239075,0.5734870433807373,1.3086525201797485
6,0.8876280188560486,0.3133717477321625,0.5619596838951111,1.3549193143844604
7,0.9022972583770752,0.26181623339653015,0.5734870433807373,1.4455106258392334
8,0.92637699842453,0.21331031620502472,0.579250693321228,1.7695919275283813
9,0.9410462379455566,0.17979216575622559,0.5821325778961182,1.7256075143814087
10,0.9407694339752197,0.1574026197195053,0.579250693321228,1.8277174234390259
11,0.9465817809104919,0.16386662423610687,0.5850144028663635,1.8206584453582764
12,0.952117383480072,0.1441466212272644,0.559077799320221,1.9448840618133545
13,0.9523941278457642,0.14377151429653168,0.5446686148643494,2.2903506755828857
14,0.9601439237594604,0.12156645208597183,0.5561959743499756,2.0930802822113037
15,0.9629117250442505,0.12149284034967422,0.5677233338356018,2.2335195541381836
16,0.9662330746650696,0.1024739146232605,0.559077799320221,2.2300777435302734
17,0.9662330746650696,0.10658575594425201,0.559077799320221,2.2211649417877197
18,0.972045361995697,0.08711308240890503,0.5446686148643494,2.2676198482513428
19,0.9598671197891235,0.12567539513111115,0.5561959743499756,2.312126398086548
20,0.9676169157028198,0.08382922410964966,0.5244956612586975,2.7194700241088867
21,0.975089967250824,0.07214445620775223,0.5533141493797302,2.6527554988861084
22,0.974259614944458,0.08003588020801544,0.5706051588058472,2.3367741107940674
23,0.975643515586853,0.06930404156446457,0.5619596838951111,2.394209384918213
24,0.9789648652076721,0.05757995322346687,0.5561959743499756,2.4451138973236084
